iter	Passed	Remaining
145	31321	397736
146	31556	397782
147	31786	397756
148	31979	397280
149	32203	397173
150	32416	396938
151	32657	397045
152	32849	396560
153	33066	396372
154	33281	396153
155	33491	395889
156	33700	395600
157	33895	395161
158	34110	394953
159	34303	394490
160	34517	394276
161	34720	393924
162	34921	393562
163	35125	393238
164	35346	393098
165	35556	392838
166	35772	392638
167	35977	392327
168	36175	391933
169	36363	391442
170	36572	391175
171	36795	391061
172	37027	391037
173	37240	390814
174	37449	390548
175	37680	390506
176	37916	390521
177	38166	390667
178	38398	390638
179	38615	390440
180	38872	390661
181	39106	390639
182	39366	390867
183	39729	392108
184	39963	392070
185	40171	391781
186	40408	391767
187	40660	391897
188	40884	391756
189	41113	391659
190	41329	391438
191	41547	391240
192	41785	391221
193	42005	391040
194	42241	391005
195	42481	391006
196	42725	391034
197	42977	391136
198	43202	390996
199	43429	390865
200	43663	390800
201	43883	390605
202	44108	390454
203	44362	390562
204	44585	390394
205	44802	390174
206	45010	389874
207	45244	389799
208	45476	389708
209	45686	389421
210	45904	389209
211	46122	388993
212	46347	388840
213	46572	388688
214	46792	388486
215	47008	388258
216	47214	387939
217	47447	387849
218	47650	387513
219	47880	387393
220	48108	387261
221	48330	387078
222	48557	386932
223	48800	386919
224	49029	386791
225	49261	386677
226	49495	386588
227	49709	386339
228	49934	386177
229	50175	386134
230	50425	386159
231	50677	386199
232	50899	386006
233	51119	385798
234	51351	385686
235	51581	385551
236	51819	385475
237	52053	385371
238	52265	385099
239	52507	385055
240	52727	384841
241	52956	384699
242	53173	384470
243	53386	384204
244	53617	384078
245	53836	383856
246	54055	383641
247	54284	383493
248	54568	383730
249	54827	383792
250	55049	383592
251	55286	383497
252	55539	383505
253	55768	383354
254	55989	383141
255	56223	383021
256	56462	382933
257	56686	382744
258	56911	382562
259	57147	382448
260	57370	382247
261	57609	382159
262	57849	382072
263	58158	382436
264	58394	382315
265	58634	382226
266	58867	382090
267	59216	382694
268	59506	382918
269	59738	382766
270	59987	382725
271	60195	382419
272	60415	382188
273	60647	382034
274	60865	381794
275	61100	381658
276	61355	381642
277	61600	381571
278	61842	381474
279	62064	381255
280	62274	380958
281	62491	380712
282	62740	380654
283	62994	380630
284	63224	380457
285	63486	380475
286	63752	380516
287	64016	380543
288	64248	380378
289	64482	380223
290	64719	380088
291	64954	379939
292	65194	379818
293	65428	379664
294	65656	379471
295	65943	379619
296	66266	379974
297	66508	379855
298	66752	379751
299	67005	379696
300	67242	379551
301	67493	379485
302	67742	379404
303	67986	379292
304	68205	379041
305	68435	378857
306	68673	378709
307	68915	378590
308	69149	378418
309	69394	378310
310	69620	378100
311	69843	377869
312	70075	377689
313	70306	377504
314	70520	377230
315	70750	377037
316	70980	376846
317	71203	376615
318	71427	376395
319	71672	376278
320	71902	376087
321	72127	375870
322	72355	375665
323	72579	375441
324	72811	375257
325	73033	375025
326	73265	374843
327	73485	374596
328	73725	374455
329	73961	374291
330	74193	374104
331	74412	373854
332	74654	373720
333	74889	373549
334	75109	373304
335	75356	373192
336	75586	372997
337	75809	372765
338	76033	372542
339	76259	372325
340	76486	372113
341	76741	372039
342	77047	372209
343	77327	372251
344	77592	372219
345	77858	372192
346	78106	372075
347	78338	371884
348	78575	371711
349	78828	371622
350	79076	371503
351	79308	371305
352	79535	371089
353	79763	370876
354	80015	370776
355	80269	370684
356	80520	370573
357	80782	370517
358	81073	370590
359	81403	370839
360	81658	370741
361	82015	371107
362	82314	371207
363	82548	371012
364	82805	370924
365	83092	370963
366	83365	370942
367	83643	370939
368	83908	370881
369	84175	370826
370	84436	370746
371	84682	370601
372	84935	370483
373	85189	370368
374	85444	370259
375	85684	370083
376	85963	370077
377	86207	369917
378	86470	369837
379	86710	369661
380	86949	369476
381	87172	369228
382	87402	369005
383	87626	368760
384	87865	368580
385	88114	368437
386	88378	368357
387	88621	368192
388	88852	367973
389	89095	367802
390	89341	367646
391	89572	367431
392	89784	367134
393	90049	367053
394	90300	366916
395	90530	366696
396	90778	366542
397	90998	366279
398	91337	366492
